Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
RLGT^A,"Radiant Logistics, Inc.",26.0721,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rlgt^a
UTG,Reaves Utility Income Fund,30.47,1482251024,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/utg
REED,"Reeds, Inc.",1.7,41853304.7,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/reed
RHE,"Regional Health Properties, Inc.",0.285,5665488.78,n/a,2017,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/rhe
RHE^A,"Regional Health Properties, Inc.",6.979,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rhe^a
RWC,RELM Wireless Corporation,4.05,56070565.2,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/rwc
RCG,"RENN Fund, Inc.",1.49,6651310.83,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rcg
RVP,"Retractable Technologies, Inc.",0.725,23683179.15,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/rvp
RNN,"Rexahn Pharmaceuticals, Inc.",2.06,65353734.84,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rnn
REI,"Ring Energy, Inc.",15.55,842186693.8,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rei
RIF,RMR Real Estate Income Fund,18.36,187308885.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rif
SACH,Sachem Capital Corp.,3.91,60275531.67,n/a,2017,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sach
SGA,"Saga Communications, Inc.",42.2,249275526.6,n/a,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sga
SNMP,Sanchez Midstream Partners LP,12.35,182510671.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/snmp
SAND          ,Sandstorm Gold Ltd,5.09,929869205.2,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/sand
SEB,Seaboard Corporation,4260.99,4987701845,n/a,1996,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/seb
SENS,"Senseonics Holdings, Inc.",3,410263374,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sens
SVT,"Servotronics, Inc.",10.6001,26617656.71,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/svt
SMTS,Sierra Metals Inc.,2.62,426220106.6,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/smts
SIF,"SIFCO Industries, Inc.",6.5,36372563.5,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/sif
SVM,Silvercorp Metals Inc.,2.84,478033781.4,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/svm
SKY,Skyline Corporation,21.13,177306985.7,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/sky
XPL,Solitario Zinc Corp.,0.6725,39304508.64,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/xpl
SCE^B,Southern California Edison Company,22.6092,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^b
SCE^C,Southern California Edison Company,22.7,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^c
SCE^D,Southern California Edison Company,22.395,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^d
SCE^E,Southern California Edison Company,24.94,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^e
SGB,Southwest Georgia Financial Corporation,21.5,54769895.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sgb
LOV,"Spark Networks, Inc.",14.1799,0,n/a,2017,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/lov
SRCI,SRC Energy Inc.,9.06,2186562226,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/srci
SGY.WS,Stone Energy Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sgy.ws
STRP,Straight Path Communications Inc.,181.41,2316211496,n/a,2013,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/strp
SSY,"SunLink Health Systems, Inc.",1.55,14202042.4,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ssy
SDPI,"Superior Drilling Products, Inc.",1.6099,39142000.99,n/a,2014,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/sdpi
SYN,"Synthetic Biologics, Inc",0.5043,64836279.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/syn
TKAT,"Takung Art Co., Ltd.",2.6762,29943686.01,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/tkat
TRX,Tanzanian Royalty Exploration Corporation,0.3901,47687649.67,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/trx
TGB,Taseko Mines Limited,1.93,437912819.6,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tgb
TIK,Tel-Instrument Electronics Corp.,3.305,10760706.54,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/tik
TGC,"Tengasco, Inc.",0.78,8283540.72,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tgc
GLU,The Gabelli Global Utility and Income Trust,21.09,86707253.73,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/glu
GLU^A,The Gabelli Global Utility and Income Trust,50.39,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glu^a
GGO,The Gabelli Go Anywhere Trust,18.4,29628268.8,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/ggo
GGO^A,The Gabelli Go Anywhere Trust,43.5,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggo^a
TMP,Tompkins Financial Corporation,83.81,1274184383,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tmp
TAT,Transatlantic Petroleum Ltd,1.28,64408519.68,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tat
TRXC,"TransEnterix, Inc.",1.85,368596815.7,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/trxc
TMQ,Trilogy Metals Inc.,1.55,163811010.7,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tmq
TPHS,Trinity Place Holdings Inc.,6.91,217331910.4,n/a,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/tphs
TRT,Trio-Tech International,6.25,22081593.75,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/trt
HTM,U.S. Geothermal Inc.,4.02,77491763.16,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/htm
UFAB,"Unique Fabricating, Inc.",7.9,77084747.7,n/a,2015,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ufab
UAMY,United States Antimony Corporation,0.314,21191280.04,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/uamy
UUU,"Universal Security Instruments, Inc.",1.65,3816263.55,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/uuu
UQM,UQM Technologies Inc.,1.42,76757357.34,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/uqm
URG,Ur Energy Inc,0.75,109539039.8,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/urg
UEC,Uranium Energy Corp.,1.67,260771448.6,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/uec
VII,"Vicon Industries, Inc.",0.4197,7366835.873,n/a,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/vii
VHC,VirnetX Holding Corp,3.95,232402488.4,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/vhc
VGZ,Vista Gold Corporation,0.7646,76010420.55,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/vgz
VNRX,VolitionRX Limited,2.93,77699791,n/a,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/vnrx
VISI,"Volt Information Sciences, Inc.",4.5,94629280.5,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/visi
EAD,Wells Fargo Income Opportunities Fund,8.44,595182503.8,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ead
ERC,Wells Fargo Multi-Sector Income Fund,13.14,459107447.8,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/erc
ERH,Wells Fargo Utilities and High Income Fund,12.95,119711833.2,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/erh
WRN,Western Copper and Gold Corporation,0.9997,96624938.82,n/a,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/wrn
WYY,WidePoint Corporation,0.625,51894748.13,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/wyy
WTT,"Wireless Telecom Group,  Inc.",2.43,55381320.81,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/wtt
XTNT,"Xtant Medical Holdings, Inc.",0.5288,9609886.102,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xtnt
YUMA,"Yuma Energy, Inc.",1.54,34899107.32,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/yuma
ZDGE,"Zedge, Inc.",2.7101,27009797,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/zdge
ZOM,Zomedica Pharmaceuticals Corp.,2,180699738,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/zom
